T,p,phi,tau_e,tign
1010,15,0.65,3.06E-04,4.39E-03
1010,15,0.725,2.88E-04,4.12E-03
1010,15,0.8,2.73E-04,3.89E-03
1010,15,0.875,2.61E-04,3.70E-03
1010,15,0.95,2.50E-04,3.54E-03
1010,15,1.025,2.41E-04,3.40E-03
1010,15,1.1,2.32E-04,3.28E-03
1010,15,1.175,2.25E-04,3.17E-03
1010,15,1.25,2.19E-04,3.07E-03
1010,15,1.325,2.13E-04,2.98E-03
1010,15,1.4,2.08E-04,2.90E-03
1010,15,1.475,2.03E-04,2.83E-03
1010,15,1.55,1.98E-04,2.76E-03
1010,15,1.625,1.94E-04,2.71E-03
1010,15,1.7,1.91E-04,2.65E-03
1010,15,1.775,1.87E-04,2.60E-03
1010,15,1.85,1.84E-04,2.55E-03
1010,15,1.925,1.81E-04,2.51E-03
1010,15,2,1.79E-04,2.47E-03
1010,15.5,0.575,3.20E-04,4.63E-03
1010,15.5,0.65,2.99E-04,4.31E-03
1010,15.5,0.725,2.82E-04,4.05E-03
1010,15.5,0.8,2.67E-04,3.83E-03
1010,15.5,0.875,2.55E-04,3.64E-03
1010,15.5,0.95,2.45E-04,3.48E-03
1010,15.5,1.025,2.35E-04,3.34E-03
1010,15.5,1.1,2.27E-04,3.22E-03
1010,15.5,1.175,2.20E-04,3.11E-03
1010,15.5,1.25,2.14E-04,3.01E-03
1010,15.5,1.325,2.08E-04,2.93E-03
1010,15.5,1.4,2.03E-04,2.85E-03
1010,15.5,1.475,1.99E-04,2.78E-03
1010,15.5,1.55,1.94E-04,2.72E-03
1010,15.5,1.625,1.90E-04,2.66E-03
1010,15.5,1.7,1.87E-04,2.60E-03
1010,15.5,1.775,1.84E-04,2.55E-03
1010,15.5,1.85,1.80E-04,2.51E-03
1010,15.5,1.925,1.78E-04,2.47E-03
1010,15.5,2,1.75E-04,2.43E-03
1010,16,0.575,3.13E-04,4.56E-03
1010,16,0.65,2.93E-04,4.24E-03
1010,16,0.725,2.76E-04,3.98E-03
1010,16,0.8,2.62E-04,3.76E-03
1010,16,0.875,2.50E-04,3.58E-03
1010,16,0.95,2.39E-04,3.42E-03
1010,16,1.025,2.30E-04,3.28E-03
1010,16,1.1,2.23E-04,3.16E-03
1010,16,1.175,2.16E-04,3.06E-03
1010,16,1.25,2.10E-04,2.96E-03
1010,16,1.325,2.04E-04,2.88E-03
1010,16,1.4,1.99E-04,2.80E-03
1010,16,1.475,1.94E-04,2.73E-03
1010,16,1.55,1.90E-04,2.67E-03
1010,16,1.625,1.86E-04,2.61E-03
1010,16,1.7,1.83E-04,2.56E-03
1010,16,1.775,1.80E-04,2.51E-03
1010,16,1.85,1.77E-04,2.47E-03
1010,16,1.925,1.74E-04,2.42E-03
1010,16,2,1.71E-04,2.38E-03
1010,16.5,0.575,3.07E-04,4.48E-03
1010,16.5,0.65,2.87E-04,4.17E-03
1010,16.5,0.725,2.70E-04,3.91E-03
1010,16.5,0.8,2.56E-04,3.70E-03
1010,16.5,0.875,2.45E-04,3.52E-03
1010,16.5,0.95,2.34E-04,3.36E-03
1010,16.5,1.025,2.26E-04,3.23E-03
1010,16.5,1.1,2.18E-04,3.11E-03
1010,16.5,1.175,2.11E-04,3.01E-03
1010,16.5,1.25,2.05E-04,2.91E-03
1010,16.5,1.325,2.00E-04,2.83E-03
1010,16.5,1.4,1.95E-04,2.75E-03
1010,16.5,1.475,1.90E-04,2.69E-03
1010,16.5,1.55,1.86E-04,2.62E-03
1010,16.5,1.625,1.83E-04,2.57E-03
1010,16.5,1.7,1.79E-04,2.52E-03
1010,16.5,1.775,1.76E-04,2.47E-03
1010,16.5,1.85,1.73E-04,2.42E-03
1010,16.5,1.925,1.70E-04,2.38E-03
1010,16.5,2,1.68E-04,2.34E-03
1010,17,0.575,3.01E-04,4.41E-03
1010,17,0.65,2.81E-04,4.10E-03
1010,17,0.725,2.65E-04,3.85E-03
1010,17,0.8,2.51E-04,3.64E-03
1010,17,0.875,2.40E-04,3.46E-03
1010,17,0.95,2.30E-04,3.31E-03
1010,17,1.025,2.21E-04,3.17E-03
1010,17,1.1,2.14E-04,3.06E-03
1010,17,1.175,2.07E-04,2.96E-03
1010,17,1.25,2.01E-04,2.86E-03
1010,17,1.325,1.96E-04,2.78E-03
1010,17,1.4,1.91E-04,2.71E-03
1010,17,1.475,1.87E-04,2.64E-03
1010,17,1.55,1.83E-04,2.58E-03
1010,17,1.625,1.79E-04,2.52E-03
1010,17,1.7,1.76E-04,2.47E-03
1010,17,1.775,1.73E-04,2.43E-03
1010,17,1.85,1.70E-04,2.38E-03
1010,17,1.925,1.67E-04,2.34E-03
1010,17,2,1.65E-04,2.30E-03
1010,17.5,0.575,2.95E-04,4.34E-03
1010,17.5,0.65,2.75E-04,4.03E-03
1010,17.5,0.725,2.59E-04,3.78E-03
1010,17.5,0.8,2.46E-04,3.58E-03
1010,17.5,0.875,2.35E-04,3.40E-03
1010,17.5,0.95,2.25E-04,3.25E-03
1010,17.5,1.025,2.17E-04,3.12E-03
1010,17.5,1.1,2.10E-04,3.01E-03
1010,17.5,1.175,2.03E-04,2.91E-03
1010,17.5,1.25,1.97E-04,2.82E-03
1010,17.5,1.325,1.92E-04,2.74E-03
1010,17.5,1.4,1.87E-04,2.66E-03
1010,17.5,1.475,1.83E-04,2.60E-03
1010,17.5,1.55,1.79E-04,2.54E-03
1010,17.5,1.625,1.76E-04,2.48E-03
1010,17.5,1.7,1.72E-04,2.43E-03
1010,17.5,1.775,1.69E-04,2.39E-03
1010,17.5,1.85,1.66E-04,2.34E-03
1010,17.5,1.925,1.64E-04,2.30E-03
1010,17.5,2,1.61E-04,2.27E-03
1010,18,0.575,2.89E-04,4.27E-03
1010,18,0.65,2.70E-04,3.97E-03
1010,18,0.725,2.54E-04,3.72E-03
1010,18,0.8,2.41E-04,3.52E-03
1010,18,0.875,2.30E-04,3.35E-03
1010,18,0.95,2.21E-04,3.20E-03
1010,18,1.025,2.13E-04,3.07E-03
1010,18,1.1,2.06E-04,2.96E-03
1010,18,1.175,1.99E-04,2.86E-03
1010,18,1.25,1.93E-04,2.77E-03
1010,18,1.325,1.88E-04,2.69E-03
1010,18,1.4,1.84E-04,2.62E-03
1010,18,1.475,1.80E-04,2.56E-03
1010,18,1.55,1.76E-04,2.50E-03
1010,18,1.625,1.72E-04,2.44E-03
1010,18,1.7,1.69E-04,2.39E-03
1010,18,1.775,1.66E-04,2.35E-03
1010,18,1.85,1.63E-04,2.31E-03
1010,18,1.925,1.61E-04,2.27E-03
1010,18,2,1.58E-04,2.23E-03
1010,18.5,0.575,2.83E-04,4.20E-03
1010,18.5,0.65,2.65E-04,3.91E-03
1010,18.5,0.725,2.49E-04,3.67E-03
1010,18.5,0.8,2.37E-04,3.46E-03
1010,18.5,0.875,2.26E-04,3.30E-03
1010,18.5,0.95,2.17E-04,3.15E-03
1010,18.5,1.025,2.09E-04,3.02E-03
1010,18.5,1.1,2.02E-04,2.91E-03
1010,18.5,1.175,1.95E-04,2.81E-03
1010,18.5,1.25,1.90E-04,2.73E-03
1010,18.5,1.325,1.85E-04,2.65E-03
1010,18.5,1.4,1.80E-04,2.58E-03
1010,18.5,1.475,1.76E-04,2.51E-03
1010,18.5,1.55,1.73E-04,2.46E-03
1010,18.5,1.625,1.69E-04,2.40E-03
1010,18.5,1.7,1.66E-04,2.35E-03
1010,18.5,1.775,1.63E-04,2.31E-03
1010,18.5,1.85,1.60E-04,2.27E-03
1010,18.5,1.925,1.58E-04,2.23E-03
1010,18.5,2,1.55E-04,2.19E-03
1010,19,0.575,2.78E-04,4.14E-03
1010,19,0.65,2.60E-04,3.85E-03
1010,19,0.725,2.45E-04,3.61E-03
1010,19,0.8,2.32E-04,3.41E-03
1010,19,0.875,2.22E-04,3.24E-03
1010,19,0.95,2.13E-04,3.10E-03
1010,19,1.025,2.05E-04,2.98E-03
1010,19,1.1,1.98E-04,2.87E-03
1010,19,1.175,1.92E-04,2.77E-03
1010,19,1.25,1.86E-04,2.68E-03
1010,19,1.325,1.82E-04,2.61E-03
1010,19,1.4,1.77E-04,2.54E-03
1010,19,1.475,1.73E-04,2.48E-03
1010,19,1.55,1.69E-04,2.42E-03
1010,19,1.625,1.66E-04,2.37E-03
1010,19,1.7,1.63E-04,2.32E-03
1010,19,1.775,1.60E-04,2.27E-03
1010,19,1.85,1.57E-04,2.23E-03
1010,19,1.925,1.55E-04,2.20E-03
1010,19,2,1.53E-04,2.16E-03
1010,19.5,0.575,2.73E-04,4.07E-03
1010,19.5,0.65,2.55E-04,3.79E-03
1010,19.5,0.725,2.40E-04,3.55E-03
1010,19.5,0.8,2.28E-04,3.36E-03
1010,19.5,0.875,2.18E-04,3.19E-03
1010,19.5,0.95,2.09E-04,3.05E-03
1010,19.5,1.025,2.01E-04,2.93E-03
1010,19.5,1.1,1.94E-04,2.82E-03
1010,19.5,1.175,1.88E-04,2.73E-03
1010,19.5,1.25,1.83E-04,2.64E-03
1010,19.5,1.325,1.78E-04,2.57E-03
1010,19.5,1.4,1.74E-04,2.50E-03
1010,19.5,1.475,1.70E-04,2.44E-03
1010,19.5,1.55,1.66E-04,2.38E-03
1010,19.5,1.625,1.63E-04,2.33E-03
1010,19.5,1.7,1.60E-04,2.28E-03
1010,19.5,1.775,1.57E-04,2.24E-03
1010,19.5,1.85,1.55E-04,2.20E-03
1010,19.5,1.925,1.52E-04,2.16E-03
1010,19.5,2,1.50E-04,2.13E-03
1010,20,0.575,2.68E-04,4.01E-03
1010,20,0.65,2.50E-04,3.73E-03
1010,20,0.725,2.36E-04,3.50E-03
1010,20,0.8,2.24E-04,3.31E-03
1010,20,0.875,2.14E-04,3.15E-03
1010,20,0.95,2.05E-04,3.01E-03
1010,20,1.025,1.98E-04,2.89E-03
1010,20,1.1,1.91E-04,2.78E-03
1010,20,1.175,1.85E-04,2.69E-03
1010,20,1.25,1.80E-04,2.60E-03
1010,20,1.325,1.75E-04,2.53E-03
1010,20,1.4,1.71E-04,2.46E-03
1010,20,1.475,1.67E-04,2.40E-03
1010,20,1.55,1.63E-04,2.34E-03
1010,20,1.625,1.60E-04,2.29E-03
1010,20,1.7,1.57E-04,2.25E-03
1010,20,1.775,1.54E-04,2.20E-03
1010,20,1.85,1.52E-04,2.17E-03
1010,20,1.925,1.50E-04,2.13E-03
1010,20,2,1.47E-04,2.09E-03
1020,1,0.575,9.97E-06,1.69E-04
1020,1,0.65,9.96E-06,1.68E-04
1020,1,0.725,9.99E-06,1.67E-04
1020,1,0.8,1.00E-05,1.67E-04
1020,1,0.875,1.01E-05,1.67E-04
1020,1,0.95,1.02E-05,1.68E-04
1020,1,1.025,1.03E-05,1.69E-04
1020,1,1.1,1.05E-05,1.71E-04
1020,1,1.175,1.06E-05,1.72E-04
1020,1,1.25,1.08E-05,1.74E-04
1020,1,1.325,1.09E-05,1.76E-04
1020,1,1.4,1.11E-05,1.78E-04
1020,1,1.475,1.12E-05,1.80E-04
1020,1,1.55,1.14E-05,1.82E-04
1020,1,1.625,1.16E-05,1.84E-04
1020,1,1.7,1.17E-05,1.86E-04
1020,1,1.775,1.19E-05,1.89E-04
1020,1,1.85,1.21E-05,1.91E-04
1020,1,1.925,1.23E-05,1.93E-04
1020,1,2,1.24E-05,1.96E-04
1020,1.5,0.575,9.54E-06,1.45E-04
1020,1.5,0.65,9.54E-06,1.44E-04
1020,1.5,0.725,9.58E-06,1.43E-04
1020,1.5,0.8,9.66E-06,1.43E-04
1020,1.5,0.875,9.76E-06,1.44E-04
1020,1.5,0.95,9.88E-06,1.45E-04
1020,1.5,1.025,1.00E-05,1.46E-04
1020,1.5,1.1,1.02E-05,1.47E-04
1020,1.5,1.175,1.03E-05,1.48E-04
1020,1.5,1.25,1.05E-05,1.50E-04
1020,1.5,1.325,1.06E-05,1.52E-04
1020,1.5,1.4,1.08E-05,1.53E-04
1020,1.5,1.475,1.10E-05,1.55E-04
1020,1.5,1.55,1.12E-05,1.57E-04
1020,1.5,1.625,1.14E-05,1.59E-04
1020,1.5,1.7,1.15E-05,1.61E-04
1020,1.5,1.775,1.17E-05,1.63E-04
1020,1.5,1.85,1.19E-05,1.66E-04
1020,1.5,1.925,1.21E-05,1.68E-04
1020,1.5,2,1.23E-05,1.70E-04
1020,2,0.575,1.23E-05,1.60E-04
1020,2,0.65,1.24E-05,1.59E-04
1020,2,0.725,1.25E-05,1.58E-04
1020,2,0.8,1.27E-05,1.59E-04
1020,2,0.875,1.29E-05,1.60E-04
1020,2,0.95,1.31E-05,1.61E-04
1020,2,1.025,1.34E-05,1.63E-04
1020,2,1.1,1.36E-05,1.64E-04
1020,2,1.175,1.39E-05,1.67E-04
1020,2,1.25,1.42E-05,1.69E-04
1020,2,1.325,1.45E-05,1.71E-04
1020,2,1.4,1.48E-05,1.73E-04
1020,2,1.475,1.51E-05,1.76E-04
1020,2,1.55,1.54E-05,1.78E-04
1020,2,1.625,1.58E-05,1.81E-04
1020,2,1.7,1.61E-05,1.84E-04
1020,2,1.775,1.64E-05,1.86E-04
1020,2,1.85,1.67E-05,1.89E-04
1020,2,1.925,1.71E-05,1.92E-04
1020,2,2,1.74E-05,1.95E-04
1020,2.5,0.575,2.97E-05,2.71E-04
1020,2.5,0.65,3.04E-05,2.72E-04
1020,2.5,0.725,3.13E-05,2.74E-04
1020,2.5,0.8,3.23E-05,2.77E-04
1020,2.5,0.875,3.33E-05,2.81E-04
1020,2.5,0.95,3.43E-05,2.86E-04
1020,2.5,1.025,3.53E-05,2.90E-04
1020,2.5,1.1,3.63E-05,2.95E-04
1020,2.5,1.175,3.73E-05,3.01E-04
1020,2.5,1.25,3.83E-05,3.06E-04
1020,2.5,1.325,3.93E-05,3.11E-04
1020,2.5,1.4,4.03E-05,3.16E-04
1020,2.5,1.475,4.12E-05,3.22E-04
1020,2.5,1.55,4.21E-05,3.27E-04
1020,2.5,1.625,4.30E-05,3.32E-04
1020,2.5,1.7,4.38E-05,3.37E-04
1020,2.5,1.775,4.46E-05,3.42E-04
1020,2.5,1.85,4.54E-05,3.47E-04
1020,2.5,1.925,4.62E-05,3.52E-04
1020,2.5,2,4.69E-05,3.57E-04
1020,3,0.575,1.62E-04,1.05E-03
1020,3,0.65,1.55E-04,1.01E-03
1020,3,0.725,1.50E-04,9.73E-04
1020,3,0.8,1.45E-04,9.46E-04
1020,3,0.875,1.42E-04,9.24E-04
1020,3,0.95,1.38E-04,9.06E-04
1020,3,1.025,1.36E-04,8.90E-04
1020,3,1.1,1.33E-04,8.77E-04
1020,3,1.175,1.31E-04,8.66E-04
1020,3,1.25,1.30E-04,8.57E-04
1020,3,1.325,1.28E-04,8.49E-04
1020,3,1.4,1.27E-04,8.41E-04
1020,3,1.475,1.25E-04,8.35E-04
1020,3,1.55,1.24E-04,8.30E-04
1020,3,1.625,1.23E-04,8.25E-04
1020,3,1.7,1.22E-04,8.20E-04
1020,3,1.775,1.21E-04,8.17E-04
1020,3,1.85,1.21E-04,8.13E-04
1020,3,1.925,1.20E-04,8.10E-04
1020,3,2,1.19E-04,8.07E-04
1020,3.5,0.575,2.84E-04,2.14E-03
1020,3.5,0.65,2.67E-04,1.99E-03
1020,3.5,0.725,2.52E-04,1.88E-03
1020,3.5,0.8,2.41E-04,1.78E-03
1020,3.5,0.875,2.31E-04,1.71E-03
1020,3.5,0.95,2.23E-04,1.64E-03
1020,3.5,1.025,2.16E-04,1.59E-03
1020,3.5,1.1,2.09E-04,1.54E-03
1020,3.5,1.175,2.04E-04,1.50E-03
1020,3.5,1.25,1.99E-04,1.46E-03
1020,3.5,1.325,1.95E-04,1.43E-03
1020,3.5,1.4,1.91E-04,1.40E-03
1020,3.5,1.475,1.87E-04,1.37E-03
1020,3.5,1.55,1.84E-04,1.35E-03
1020,3.5,1.625,1.81E-04,1.33E-03
1020,3.5,1.7,1.79E-04,1.31E-03
1020,3.5,1.775,1.76E-04,1.29E-03
1020,3.5,1.85,1.74E-04,1.28E-03
1020,3.5,1.925,1.72E-04,1.26E-03
1020,3.5,2,1.70E-04,1.25E-03
1020,4,0.575,3.50E-04,3.03E-03
1020,4,0.65,3.27E-04,2.81E-03
1020,4,0.725,3.08E-04,2.64E-03
1020,4,0.8,2.93E-04,2.49E-03
1020,4,0.875,2.80E-04,2.37E-03
1020,4,0.95,2.69E-04,2.27E-03
1020,4,1.025,2.60E-04,2.18E-03
1020,4,1.1,2.51E-04,2.10E-03
1020,4,1.175,2.44E-04,2.03E-03
1020,4,1.25,2.37E-04,1.97E-03
1020,4,1.325,2.32E-04,1.92E-03
1020,4,1.4,2.26E-04,1.87E-03
1020,4,1.475,2.22E-04,1.83E-03
1020,4,1.55,2.17E-04,1.79E-03
1020,4,1.625,2.14E-04,1.76E-03
1020,4,1.7,2.10E-04,1.72E-03
1020,4,1.775,2.07E-04,1.69E-03
1020,4,1.85,2.04E-04,1.67E-03
1020,4,1.925,2.01E-04,1.64E-03
1020,4,2,1.98E-04,1.62E-03
1020,4.5,0.575,3.85E-04,3.67E-03
1020,4.5,0.65,3.59E-04,3.41E-03
1020,4.5,0.725,3.38E-04,3.20E-03
1020,4.5,0.8,3.21E-04,3.02E-03
1020,4.5,0.875,3.06E-04,2.87E-03
1020,4.5,0.95,2.94E-04,2.74E-03
1020,4.5,1.025,2.83E-04,2.63E-03
1020,4.5,1.1,2.74E-04,2.54E-03
1020,4.5,1.175,2.65E-04,2.45E-03
1020,4.5,1.25,2.58E-04,2.38E-03
1020,4.5,1.325,2.51E-04,2.31E-03
1020,4.5,1.4,2.45E-04,2.25E-03
1020,4.5,1.475,2.40E-04,2.19E-03
1020,4.5,1.55,2.35E-04,2.14E-03
1020,4.5,1.625,2.31E-04,2.10E-03
1020,4.5,1.7,2.27E-04,2.06E-03
1020,4.5,1.775,2.23E-04,2.02E-03
1020,4.5,1.85,2.19E-04,1.98E-03
1020,4.5,1.925,2.16E-04,1.95E-03
1020,4.5,2,2.13E-04,1.92E-03
1020,5,0.575,4.02E-04,4.09E-03
1020,5,0.65,3.75E-04,3.80E-03
1020,5,0.725,3.53E-04,3.57E-03
1020,5,0.8,3.34E-04,3.37E-03
1020,5,0.875,3.19E-04,3.21E-03
1020,5,0.95,3.06E-04,3.07E-03
1020,5,1.025,2.94E-04,2.94E-03
1020,5,1.1,2.84E-04,2.84E-03
1020,5,1.175,2.76E-04,2.74E-03
1020,5,1.25,2.68E-04,2.66E-03
1020,5,1.325,2.61E-04,2.58E-03
1020,5,1.4,2.55E-04,2.51E-03
1020,5,1.475,2.49E-04,2.45E-03
1020,5,1.55,2.44E-04,2.39E-03
1020,5,1.625,2.39E-04,2.34E-03
1020,5,1.7,2.35E-04,2.29E-03
1020,5,1.775,2.31E-04,2.25E-03
1020,5,1.85,2.27E-04,2.21E-03
1020,5,1.925,2.23E-04,2.17E-03
1020,5,2,2.20E-04,2.14E-03
1020,5.5,0.575,4.08E-04,4.36E-03
1020,5.5,0.65,3.80E-04,4.05E-03
1020,5.5,0.725,3.58E-04,3.81E-03
1020,5.5,0.8,3.39E-04,3.60E-03
1020,5.5,0.875,3.24E-04,3.43E-03
1020,5.5,0.95,3.10E-04,3.28E-03
1020,5.5,1.025,2.99E-04,3.15E-03
1020,5.5,1.1,2.88E-04,3.03E-03
1020,5.5,1.175,2.79E-04,2.93E-03
1020,5.5,1.25,2.71E-04,2.84E-03
1020,5.5,1.325,2.64E-04,2.76E-03
1020,5.5,1.4,2.58E-04,2.69E-03
1020,5.5,1.475,2.52E-04,2.62E-03
1020,5.5,1.55,2.47E-04,2.56E-03
1020,5.5,1.625,2.42E-04,2.50E-03
1020,5.5,1.7,2.37E-04,2.45E-03
1020,5.5,1.775,2.33E-04,2.41E-03
1020,5.5,1.85,2.29E-04,2.36E-03
1020,5.5,1.925,2.26E-04,2.32E-03
1020,5.5,2,2.23E-04,2.29E-03
1020,6,0.575,4.08E-04,4.52E-03
1020,6,0.65,3.81E-04,4.21E-03
1020,6,0.725,3.58E-04,3.95E-03
1020,6,0.8,3.39E-04,3.74E-03
1020,6,0.875,3.24E-04,3.56E-03
1020,6,0.95,3.10E-04,3.40E-03
1020,6,1.025,2.98E-04,3.27E-03
1020,6,1.1,2.88E-04,3.15E-03
1020,6,1.175,2.79E-04,3.05E-03
1020,6,1.25,2.71E-04,2.95E-03
1020,6,1.325,2.64E-04,2.87E-03
1020,6,1.4,2.57E-04,2.79E-03
1020,6,1.475,2.51E-04,2.72E-03
1020,6,1.55,2.46E-04,2.66E-03
1020,6,1.625,2.41E-04,2.61E-03
1020,6,1.7,2.37E-04,2.55E-03
1020,6,1.775,2.33E-04,2.50E-03
1020,6,1.85,2.29E-04,2.46E-03
1020,6,1.925,2.25E-04,2.42E-03
1020,6,2,2.22E-04,2.38E-03
1020,6.5,0.575,4.05E-04,4.61E-03
1020,6.5,0.65,3.77E-04,4.29E-03
1020,6.5,0.725,3.55E-04,4.03E-03
1020,6.5,0.8,3.36E-04,3.82E-03
1020,6.5,0.875,3.21E-04,3.63E-03
1020,6.5,0.95,3.07E-04,3.48E-03
1020,6.5,1.025,2.96E-04,3.34E-03
1020,6.5,1.1,2.85E-04,3.22E-03
1020,6.5,1.175,2.76E-04,3.11E-03
1020,6.5,1.25,2.68E-04,3.02E-03
1020,6.5,1.325,2.61E-04,2.93E-03
1020,6.5,1.4,2.55E-04,2.85E-03
1020,6.5,1.475,2.49E-04,2.78E-03
1020,6.5,1.55,2.44E-04,2.72E-03
1020,6.5,1.625,2.39E-04,2.66E-03
1020,6.5,1.7,2.34E-04,2.61E-03
1020,6.5,1.775,2.30E-04,2.56E-03
1020,6.5,1.85,2.26E-04,2.51E-03
1020,6.5,1.925,2.23E-04,2.47E-03
1020,6.5,2,2.19E-04,2.43E-03
1020,7,0.575,3.98E-04,4.65E-03
1020,7,0.65,3.71E-04,4.33E-03
1020,7,0.725,3.49E-04,4.07E-03
1020,7,0.8,3.31E-04,3.85E-03
1020,7,0.875,3.16E-04,3.67E-03
1020,7,0.95,3.03E-04,3.51E-03
1020,7,1.025,2.91E-04,3.37E-03
1020,7,1.1,2.81E-04,3.25E-03
1020,7,1.175,2.72E-04,3.14E-03
1020,7,1.25,2.64E-04,3.05E-03
1020,7,1.325,2.57E-04,2.96E-03
1020,7,1.4,2.51E-04,2.88E-03
1020,7,1.475,2.45E-04,2.81E-03
1020,7,1.55,2.40E-04,2.75E-03
1020,7,1.625,2.35E-04,2.69E-03
1020,7,1.7,2.30E-04,2.64E-03
1020,7,1.775,2.26E-04,2.59E-03
1020,7,1.85,2.23E-04,2.54E-03
1020,7,1.925,2.19E-04,2.50E-03
1020,7,2,2.16E-04,2.46E-03
1020,7.5,0.575,3.91E-04,4.66E-03
1020,7.5,0.65,3.64E-04,4.34E-03
1020,7.5,0.725,3.43E-04,4.08E-03
1020,7.5,0.8,3.25E-04,3.86E-03
1020,7.5,0.875,3.10E-04,3.67E-03
1020,7.5,0.95,2.97E-04,3.52E-03
1020,7.5,1.025,2.86E-04,3.38E-03
1020,7.5,1.1,2.76E-04,3.26E-03
1020,7.5,1.175,2.67E-04,3.15E-03
1020,7.5,1.25,2.59E-04,3.05E-03
1020,7.5,1.325,2.52E-04,2.97E-03
1020,7.5,1.4,2.46E-04,2.89E-03
1020,7.5,1.475,2.40E-04,2.82E-03
1020,7.5,1.55,2.35E-04,2.75E-03
1020,7.5,1.625,2.30E-04,2.70E-03
1020,7.5,1.7,2.26E-04,2.64E-03
1020,7.5,1.775,2.22E-04,2.59E-03
1020,7.5,1.85,2.18E-04,2.55E-03
1020,7.5,1.925,2.15E-04,2.50E-03
1020,7.5,2,2.12E-04,2.46E-03
1020,8,0.575,3.83E-04,4.64E-03
1020,8,0.65,3.57E-04,4.32E-03
1020,8,0.725,3.36E-04,4.06E-03
1020,8,0.8,3.18E-04,3.85E-03
1020,8,0.875,3.03E-04,3.66E-03
1020,8,0.95,2.91E-04,3.50E-03
1020,8,1.025,2.80E-04,3.36E-03
1020,8,1.1,2.70E-04,3.24E-03
1020,8,1.175,2.61E-04,3.14E-03
1020,8,1.25,2.54E-04,3.04E-03
1020,8,1.325,2.47E-04,2.96E-03
1020,8,1.4,2.41E-04,2.88E-03
1020,8,1.475,2.35E-04,2.81E-03
1020,8,1.55,2.30E-04,2.74E-03
1020,8,1.625,2.25E-04,2.69E-03
1020,8,1.7,2.21E-04,2.63E-03
1020,8,1.775,2.17E-04,2.58E-03
1020,8,1.85,2.14E-04,2.54E-03
1020,8,1.925,2.10E-04,2.49E-03
1020,8,2,2.07E-04,2.45E-03
1020,8.5,0.575,3.74E-04,4.60E-03
1020,8.5,0.65,3.49E-04,4.29E-03
1020,8.5,0.725,3.28E-04,4.03E-03
1020,8.5,0.8,3.11E-04,3.82E-03
1020,8.5,0.875,2.96E-04,3.63E-03
1020,8.5,0.95,2.84E-04,3.48E-03
1020,8.5,1.025,2.73E-04,3.34E-03
1020,8.5,1.1,2.64E-04,3.22E-03
1020,8.5,1.175,2.55E-04,3.11E-03
1020,8.5,1.25,2.48E-04,3.02E-03
1020,8.5,1.325,2.41E-04,2.93E-03
1020,8.5,1.4,2.35E-04,2.86E-03
1020,8.5,1.475,2.30E-04,2.79E-03
1020,8.5,1.55,2.25E-04,2.72E-03
1020,8.5,1.625,2.20E-04,2.66E-03
1020,8.5,1.7,2.16E-04,2.61E-03
1020,8.5,1.775,2.12E-04,2.56E-03
1020,8.5,1.85,2.09E-04,2.52E-03
1020,8.5,1.925,2.05E-04,2.48E-03
1020,8.5,2,2.02E-04,2.44E-03
1020,9,0.575,3.65E-04,4.56E-03
1020,9,0.65,3.40E-04,4.24E-03
1020,9,0.725,3.20E-04,3.99E-03
1020,9,0.8,3.04E-04,3.78E-03
1020,9,0.875,2.89E-04,3.59E-03
1020,9,0.95,2.77E-04,3.44E-03
1020,9,1.025,2.67E-04,3.30E-03
1020,9,1.1,2.58E-04,3.19E-03
1020,9,1.175,2.49E-04,3.08E-03
1020,9,1.25,2.42E-04,2.99E-03
1020,9,1.325,2.36E-04,2.90E-03
1020,9,1.4,2.30E-04,2.83E-03
1020,9,1.475,2.24E-04,2.76E-03
1020,9,1.55,2.20E-04,2.69E-03
1020,9,1.625,2.15E-04,2.64E-03
1020,9,1.7,2.11E-04,2.58E-03
1020,9,1.775,2.07E-04,2.54E-03
1020,9,1.85,2.04E-04,2.49E-03
1020,9,1.925,2.01E-04,2.45E-03
1020,9,2,1.98E-04,2.41E-03
1020,9.5,0.575,3.56E-04,4.50E-03
1020,9.5,0.65,3.32E-04,4.19E-03
1020,9.5,0.725,3.13E-04,3.94E-03
1020,9.5,0.8,2.96E-04,3.73E-03
1020,9.5,0.875,2.82E-04,3.55E-03
1020,9.5,0.95,2.71E-04,3.40E-03
1020,9.5,1.025,2.60E-04,3.26E-03
1020,9.5,1.1,2.51E-04,3.15E-03
1020,9.5,1.175,2.43E-04,3.04E-03
1020,9.5,1.25,2.36E-04,2.95E-03
1020,9.5,1.325,2.30E-04,2.87E-03
1020,9.5,1.4,2.24E-04,2.79E-03
1020,9.5,1.475,2.19E-04,2.72E-03
1020,9.5,1.55,2.14E-04,2.66E-03
1020,9.5,1.625,2.10E-04,2.60E-03
1020,9.5,1.7,2.06E-04,2.55E-03
1020,9.5,1.775,2.02E-04,2.50E-03
1020,9.5,1.85,1.99E-04,2.46E-03
1020,9.5,1.925,1.96E-04,2.42E-03
1020,9.5,2,1.93E-04,2.38E-03
1020,10,0.575,3.47E-04,4.44E-03
1020,10,0.65,3.24E-04,4.13E-03
1020,10,0.725,3.05E-04,3.89E-03
1020,10,0.8,2.89E-04,3.68E-03
1020,10,0.875,2.76E-04,3.50E-03
1020,10,0.95,2.64E-04,3.35E-03
1020,10,1.025,2.54E-04,3.22E-03
