T,p,phi,tau_e,tign
900,4,0.65,6.51E-03,1.49E-01
900,4,0.725,6.13E-03,1.39E-01
900,4,0.8,5.82E-03,1.32E-01
900,4,0.875,5.55E-03,1.25E-01
900,4,0.95,5.32E-03,1.19E-01
900,4,1.025,5.12E-03,1.14E-01
900,4,1.1,4.95E-03,1.10E-01
900,4,1.175,4.79E-03,1.06E-01
900,4,1.25,4.65E-03,1.03E-01
900,4,1.325,4.53E-03,9.98E-02
900,4,1.4,4.41E-03,9.70E-02
900,4,1.475,4.31E-03,9.45E-02
900,4,1.55,4.22E-03,9.22E-02
900,4,1.625,4.13E-03,9.01E-02
900,4,1.7,4.05E-03,8.82E-02
900,4,1.775,3.98E-03,8.64E-02
900,4,1.85,3.91E-03,8.47E-02
900,4,1.925,3.85E-03,8.32E-02
900,4,2,3.79E-03,8.18E-02
900,4.5,0.575,6.48E-03,1.51E-01
900,4.5,0.65,6.05E-03,1.40E-01
900,4.5,0.725,5.70E-03,1.32E-01
900,4.5,0.8,5.41E-03,1.24E-01
900,4.5,0.875,5.17E-03,1.18E-01
900,4.5,0.95,4.95E-03,1.13E-01
900,4.5,1.025,4.77E-03,1.08E-01
900,4.5,1.1,4.61E-03,1.04E-01
900,4.5,1.175,4.46E-03,1.00E-01
900,4.5,1.25,4.33E-03,9.70E-02
900,4.5,1.325,4.22E-03,9.41E-02
900,4.5,1.4,4.11E-03,9.15E-02
900,4.5,1.475,4.02E-03,8.91E-02
900,4.5,1.55,3.93E-03,8.69E-02
900,4.5,1.625,3.85E-03,8.49E-02
900,4.5,1.7,3.78E-03,8.31E-02
900,4.5,1.775,3.71E-03,8.14E-02
900,4.5,1.85,3.65E-03,7.99E-02
900,4.5,1.925,3.59E-03,7.84E-02
900,4.5,2,3.54E-03,7.71E-02
900,5,0.575,6.05E-03,1.43E-01
900,5,0.65,5.65E-03,1.33E-01
900,5,0.725,5.33E-03,1.24E-01
900,5,0.8,5.06E-03,1.17E-01
900,5,0.875,4.83E-03,1.11E-01
900,5,0.95,4.63E-03,1.06E-01
900,5,1.025,4.46E-03,1.02E-01
900,5,1.1,4.31E-03,9.81E-02
900,5,1.175,4.17E-03,9.47E-02
900,5,1.25,4.06E-03,9.16E-02
900,5,1.325,3.95E-03,8.89E-02
900,5,1.4,3.85E-03,8.64E-02
900,5,1.475,3.76E-03,8.41E-02
900,5,1.55,3.68E-03,8.21E-02
900,5,1.625,3.61E-03,8.02E-02
900,5,1.7,3.54E-03,7.85E-02
900,5,1.775,3.48E-03,7.69E-02
900,5,1.85,3.42E-03,7.54E-02
900,5,1.925,3.36E-03,7.40E-02
900,5,2,3.31E-03,7.28E-02
900,5.5,0.575,5.67E-03,1.35E-01
900,5.5,0.65,5.30E-03,1.26E-01
900,5.5,0.725,5.00E-03,1.18E-01
900,5.5,0.8,4.75E-03,1.11E-01
900,5.5,0.875,4.53E-03,1.06E-01
900,5.5,0.95,4.35E-03,1.01E-01
900,5.5,1.025,4.19E-03,9.66E-02
900,5.5,1.1,4.05E-03,9.29E-02
900,5.5,1.175,3.92E-03,8.96E-02
900,5.5,1.25,3.81E-03,8.67E-02
900,5.5,1.325,3.71E-03,8.41E-02
900,5.5,1.4,3.62E-03,8.18E-02
900,5.5,1.475,3.53E-03,7.96E-02
900,5.5,1.55,3.46E-03,7.77E-02
900,5.5,1.625,3.39E-03,7.59E-02
900,5.5,1.7,3.33E-03,7.43E-02
900,5.5,1.775,3.27E-03,7.28E-02
900,5.5,1.85,3.21E-03,7.14E-02
900,5.5,1.925,3.16E-03,7.01E-02
900,5.5,2,3.11E-03,6.89E-02
900,6,0.575,5.33E-03,1.29E-01
